Title,Property Size,Bedrooms,Bathrooms,Furnishing,Region,Region Name,Region Parent Name,Is Boost,Price
"4bdrm Block of Flats in Akute, Ojodu for sale",635.0,4,4,Unfurnished,"Lagos State, Ojodu",Ojodu,Lagos State,False,170000000.0
"Furnished 6bdrm Duplex in Stadium Estate, Rumuomasi for sale",675.0,6,6,Furnished,"Port-Harcourt, Rumuomasi",Rumuomasi,Port-Harcourt,Diamond,350000000.0
"4bdrm Duplex in Estate Akwaka, Ruuodomaya for sale",289.0,4,4,Unfurnished,"Port-Harcourt, Ruuodomaya",Ruuodomaya,Port-Harcourt,Diamond,200000000.0
6bdrm Duplex in Gra for sale,640.0,6,6,Semi Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,False,950000000.0
"4bdrm Duplex in Ikota, Lagos Island / Lagos Island for sale",650.0,4,4,Unfurnished,"Lagos Island (Eko), Lagos Island / Lagos Island",Lagos Island / Lagos Island,Lagos State,False,200000000.0
"4bdrm Duplex in Omole Phase1, Ikeja for sale",330.0,4,4,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,400000000.0
4bdrm Duplex in Ojodu Berger for sale,600.0,4,4,Unfurnished,"Ojodu, Berger",Berger,Lagos State,False,350000000.0
4bdrm Duplex in Ikeja for sale,400.0,4,4,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,350000000.0
"2bdrm Apartment in Private Estate, Lekki for sale",630.0,2,2,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,100000000.0
"4bdrm Duplex in Ochid, Lekki for sale",480.0,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,200000000.0
"4bdrm Duplex in Ada George Port, Obio-Akpor for sale",450.0,4,4,Unfurnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,Diamond,280000000.0
"Furnished 3bdrm Apartment in Golf Estate, Okuru for sale",300.0,3,3,Furnished,"Port-Harcourt, Okuru",Okuru,Port-Harcourt,Diamond,115000000.0
"4bdrm Duplex in Estate, Rukpokwu for sale",450.0,4,4,Unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,Diamond,165000000.0
"5bdrm Duplex in Anthony Maryland, Ikeja for sale",500.0,5,5,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,550000000.0
"4bdrm Duplex in Shell Cooperative, Eneka for sale",450.0,4,4,Unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,Diamond,280000000.0
2bdrm Apartment in Lekki Expressway for sale,250.0,2,2,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,Diamond,140000000.0
2bdrm Apartment in Ikate-Elegushi for sale,200.0,2,2,Semi Furnished,"Lekki, Ikate-Elegushi",Ikate-Elegushi,Lagos State,VIP Gold,190000000.0
7bdrm Duplex in New Oko Oba for sale,400.0,7,7,Unfurnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,False,330000000.0
4bdrm Duplex in Ikota Gra for sale,630.0,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,False,150000000.0
"Furnished 4bdrm House in Freedom Way, Lekki Expressway for sale",1000.0,4,4,Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,Enterprise,320000000.0
"6bdrm Apartment in Estate, Rukpokwu for sale",450.0,6,6,Unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,Diamond,350000000.0
"3bdrm House in Gberigbe, Ikorodu for sale",500.0,3,3,Semi Furnished,"Lagos State, Ikorodu",Ikorodu,Lagos State,VIP,34000000.0
5bdrm Duplex in Magodo for sale,500.0,5,5,Semi Furnished,"Lagos State, Magodo",Magodo,Lagos State,False,700000000.0
"4bdrm Duplex in Greenland Estate, Mende for sale",635.0,4,4,Unfurnished,"Maryland, Mende",Mende,Lagos State,False,250000000.0
4bdrm Duplex in Maryland for sale,550.0,4,4,Unfurnished,"Lagos State, Maryland",Maryland,Lagos State,False,300000000.0
"5bdrm Duplex in No, Lekki Phase 1 for sale",640.0,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,700000000.0
5bdrm Duplex in Omole Phase2 for sale,600.0,5,5,Unfurnished,"Ikeja, Omole Phase 2",Omole Phase 2,Lagos State,False,550000000.0
4bdrm Penthouse in Victoria Island for sale,650.0,4,4,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,False,950000000.0
2bdrm Block of Flats in Oregun Ikeja for sale,630.0,2,2,Unfurnished,"Ikeja, Oregun",Oregun,Lagos State,False,140000000.0
"3bdrm Block of Flats in College Road, Ogba GRA for sale",635.0,3,2,Unfurnished,"Ogba, Ogba GRA",Ogba GRA,Lagos State,False,350000000.0
"5bdrm Duplex in Ada George Estate, Obio-Akpor for sale",930.0,5,5,Unfurnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,Diamond,235000000.0
"3bdrm Duplex in Capital City, Rukpokwu for sale",253.0,3,3,Unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,Diamond,100000000.0
"4bdrm Duplex in Pearl Garden, Eneka for sale",450.0,4,4,Unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,Diamond,290000000.0
"4bdrm Duplex in Shell Cooperative, Eneka for sale",450.0,4,4,Unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,Diamond,160000000.0
"2bdrm Block of Flats in Gbagada, GRA Phase 2 Shangisha for sale",400.0,2,2,Unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos State,False,95000000.0
3bdrm Block of Flats in Abule Egba for sale,635.0,3,3,Unfurnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,False,78000000.0
5bdrm Duplex in Ogba for sale,635.0,5,5,Unfurnished,"Ogba, Ogba Industrial Estate",Ogba Industrial Estate,Lagos State,False,450000000.0
4bdrm Townhouse/Terrace in Ikota for sale,1000.0,4,4,Semi Furnished,"Lekki, Ikota",Ikota,Lagos State,VIP Gold,190000000.0
"4bdrm Duplex in Pearl Garden Estate, Port-Harcourt for sale",465.0,4,5,Semi Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,350000000.0
5bdrm Duplex in Port-Harcourt for sale,500.0,5,6,Semi Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,400000000.0
