title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
"3bdrm Duplex in Capital City, Rukpokwu for sale",253.0,3,3,unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,diamond,"₦ 100,000,000"
"4bdrm Duplex in Pearl Garden, Eneka for sale",450.0,4,4,unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,diamond,"₦ 290,000,000"
"4bdrm Duplex in Shell Cooperative, Eneka for sale",450.0,4,4,unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,diamond,"₦ 160,000,000"
"2bdrm Block of Flats in Gbagada, GRA Phase 2 Shangisha for sale",400.0,2,2,unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Magodo,False,"₦ 95,000,000"
3bdrm Block of Flats in Abule Egba for sale,635.0,3,3,unfurnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,False,"₦ 78,000,000"
"4bdrm Duplex in Oniru Estate, Victoria Island for sale",640.0,4,4,unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,False,"₦ 3,000,000,000"
5bdrm Duplex in Ogba for sale,635.0,5,5,unfurnished,"Ogba, Ogba Industrial Estate",Ogba Industrial Estate,Ogba,False,"₦ 450,000,000"
4bdrm Townhouse/Terrace in Ikota for sale,1000.0,4,4,semi-furnished,"Lekki, Ikota",Ikota,Lekki,vip_gold,"₦ 190,000,000"
"4bdrm Duplex in Pearl Garden Estate, Port-Harcourt for sale",465.0,4,5,semi-furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 350,000,000"
5bdrm Duplex in Port-Harcourt for sale,500.0,5,6,semi-furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 400,000,000"
"7bdrm Duplex in Oko Oba, Agege for sale",530.0,7,7,unfurnished,"Lagos State, Agege",Agege,Lagos State,False,"₦ 330,000,000"
4bdrm Duplex in An Estate At Meiran for sale,500.0,4,4,unfurnished,"Agege, Meiran",Meiran,Agege,False,"₦ 110,000,000"
Mini Flat in Magodo Phase 1 for sale,530.0,1,1,unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,False,"₦ 55,000,000"
6bdrm Duplex in Ojodu for sale,450.0,6,6,unfurnished,"Lagos State, Ojodu",Ojodu,Lagos State,False,"₦ 330,000,000"
